run_id,dataset,variant,seed,status,provenance,source_path,runtime_sec,attempts
reused__pems_bay__id_mlp_ca__seed43,pems_bay,id_mlp_ca,43,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed43,,
final_ablation__pems_bay__temporal_only_forecast_only__seed43,pems_bay,temporal_only_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_43,2538.6075251999973,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed43,pems_bay,spatial_only_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_43,2485.1678526999995,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed43,pems_bay,fixed_fusion_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_43,2590.898054699999,1.0
final_ablation__pems_bay__gated_fusion_forecast_only__seed43,pems_bay,gated_fusion_forecast_only,43,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\gated_fusion_forecast_only\seed_43,1804.4988054000023,1.0
reused__pems_bay__sraf_id_forecast_only__seed44,pems_bay,sraf_id_forecast_only,44,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_20260728\loss_ablation\pems_bay\sraf_id_lambda000\seed_44,,
reused__pems_bay__id_mlp_ca__seed44,pems_bay,id_mlp_ca,44,completed,reused,E:\paper_projects\sensors_faulty_sensor_paper\experiments\id_mlp_ca_matched_fault_distribution_10seed\per_run\pems_bay__id_mlp_ca_matched__seed44,,
final_ablation__pems_bay__temporal_only_forecast_only__seed44,pems_bay,temporal_only_forecast_only,44,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\temporal_only_forecast_only\seed_44,2466.087822100002,1.0
final_ablation__pems_bay__spatial_only_forecast_only__seed44,pems_bay,spatial_only_forecast_only,44,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\spatial_only_forecast_only\seed_44,3132.7876196000007,1.0
final_ablation__pems_bay__fixed_fusion_forecast_only__seed44,pems_bay,fixed_fusion_forecast_only,44,completed,new,E:\paper_projects\sensors_faulty_sensor_paper\artifacts\revision_final_20260730\architecture_ablation\pems_bay\fixed_fusion_forecast_only\seed_44,1664.1635811000015,1.0
