dataset,variant,fault,mae_mean,mae_sample_sd,difference_vs_full,relative_difference_vs_full_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
metr_la,fixed_fusion_forecast_only,GN-high,4.860790157318116,0.036483332116662756,0.03901567459106481,0.8091559389770282,0.039015674591064455,0.0397075901959377,0.010610575724947367,0.06742077345718155,0.012576050594553755,0.01953125,1,9,0.982574726860558
metr_la,fixed_fusion_forecast_only,LD-high,5.01999192237854,0.05913582087742819,0.0997430324554438,2.0271948571488383,0.09974303245544433,0.06332820456028626,0.05444076398052061,0.14504530093036805,0.000758772330984981,0.001953125,0,10,1.5750175320459687
metr_la,fixed_fusion_forecast_only,SV-high,4.851575803756714,0.03634592209645051,0.06098113059997612,1.2729344634743,0.060981130599975585,0.03711336812755893,0.03443182640609475,0.08753043479385642,0.000567116481858536,0.005859375,1,9,1.6431041879676072
metr_la,gated_fusion_forecast_only,RM20,4.704977083206177,0.01879311924048704,-0.004081201553344904,-0.08666704267716066,-0.004081201553344726,0.025891371266934218,-0.022602772794196556,0.014440369687507101,0.6301117900731618,0.845703125,4,6,-0.15762786417407004
metr_la,gated_fusion_forecast_only,RM40,4.8367212295532225,0.020619140865063914,-0.004676151275634588,-0.096586809712241,-0.004676151275634766,0.028122144425482252,-0.02479352150110792,0.015441218949838392,0.6117194532158995,0.845703125,5,5,-0.16628003913519396
metr_la,gated_fusion_forecast_only,CO24,4.823780822753906,0.019046776623177872,-0.004021215438842596,-0.08329288166811222,-0.004021215438842774,0.021730878437993602,-0.019566549402270508,0.011524118524584959,0.572812217446792,0.556640625,5,5,-0.18504615219844053
metr_la,gated_fusion_forecast_only,GN-high,4.810556125640869,0.023047612396965164,-0.011218357086181463,-0.2326603437462446,-0.01121835708618164,0.029939664526476277,-0.03263590286764138,0.010199188695278097,0.26640050542555754,0.275390625,6,4,-0.3746988239050244
metr_la,gated_fusion_forecast_only,LD-high,4.9291716575622555,0.014681451827106009,0.008922767639159446,0.18134789192135584,0.008922767639160245,0.017369267193442083,-0.0035024575993182535,0.021347992877638743,0.13871689892748085,0.193359375,4,6,0.5137100799813312
metr_la,gated_fusion_forecast_only,SV-high,4.787526607513428,0.02950109362544298,-0.0030680656433101916,-0.06404352387609752,-0.003068065643310547,0.0235413688208554,-0.01990854640531194,0.013772415118690847,0.6898881779314723,0.4921875,5,5,-0.13032656115529417
pems_bay,sraf_id_forecast_only,RM20,1.855433714389801,0.007364425986912963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
